org_uuid,network_has_facebook_url,network_has_linkedin_url,network_has_twitter_url,network_has_homepage,network_count_attend_top_event,network_has_description
caa1bd06-aaa5-82df-0a8e-37e7f58c48d4,0,1,1,1,0,1
2c022ee7-ed83-b713-bb21-e16e49d5b622,1,0,1,1,0,1
a52f3742-f86b-3c9a-8909-69b749026f2d,0,0,0,1,0,1
0bc5e4ba-9c58-be60-5a9b-c08fc4356c62,0,1,0,1,0,1
37d40529-3131-ac47-341d-33a1d5bd70c6,1,1,1,1,0,1
37eb376b-c8c9-9b70-1d1d-21a336f4ec58,1,1,1,1,0,1
d6db306f-fe0a-5b8d-c2df-0426f01a43ed,0,0,0,1,0,1
c1c0d8ae-e662-c99c-c218-82da3fdc3191,0,0,1,1,0,1
be9fe350-1f7e-c468-00e5-e977d65c0541,1,1,1,1,0,1
4f6b26a2-85ef-a1e8-930c-a0a384877b7a,0,1,1,1,0,1
4e18aa16-8180-6349-3354-27e7a2dc6ce2,1,0,1,1,0,1
a70f99ca-83b6-d250-a104-326b9fde724d,1,1,1,1,0,1
5aa2dbdf-d8a4-241f-8a28-02e336fe1780,1,1,1,1,0,1
074f4754-6ee9-b81f-decd-14675f244ef5,1,1,1,1,0,1
d431aa9c-6758-70bc-bfa2-5e2ffd8cc904,1,1,1,1,0,1
31f9d866-3660-5367-8c52-028a7610e441,0,0,1,1,0,1
0232d017-6383-449a-f2b4-b5a965ae4aed,1,1,1,1,0,1
1dd1b6e0-1d0b-ffe4-7a85-b66547e98eea,1,1,1,1,0,1
a1040a08-7961-999f-98a8-6c64a0920da7,0,0,1,1,0,1
4bbb8e2e-c862-10fc-a211-e2f8618b70f1,0,0,0,1,0,1
25d5e3ad-0a73-6e54-ebaa-d4ad4c13af12,0,0,1,1,0,1
4fcb2436-0592-55ac-5525-b17fd6c5c07a,0,1,1,1,0,1
690872c5-734b-7b94-ceee-bd0710f997dc,1,1,1,1,0,1
1fec6b61-c40a-0814-0bbc-2cab5dc27d1a,0,0,1,1,0,1
310a79aa-ab2e-546a-fd59-8a9cf4a38593,1,1,1,1,0,1
8a975786-0c18-c1cb-a453-00bf99e4a6ec,1,1,1,1,0,1
81ba0884-bd8b-832c-fc5e-9d251538e77c,1,1,1,1,0,1
3a77b21e-6fc6-2213-f00b-45be208102a4,1,1,1,1,0,1
3cd65e3f-dc8e-86e4-1ac5-4598ed66e1e7,1,1,1,1,0,1
f83463ce-0576-fca7-150f-8a2e692705fa,1,1,1,1,0,1
4f5883be-b37c-692e-1bc2-34eb257cf33a,1,1,1,1,0,1
b0b2bf16-2f36-7879-649e-ba21f224a20f,0,1,0,1,0,1
62e6e61f-f98c-5832-547a-e8854168a25e,0,0,1,1,0,1
894f83ea-1f91-eb23-4b40-bb965c1aa415,0,0,0,0,0,1
a899e46e-0f73-80b6-1aac-0713c55e3e20,1,0,0,1,0,1
a3ebea7d-52a6-5d68-9941-89649e747231,0,0,1,0,0,1
541a1765-e2c5-d422-25c0-c9f7d493b3c6,1,1,1,1,0,1
6276ec64-25d4-43e6-cd71-4a0ef6b6ef7a,1,0,1,1,0,1
f5179f57-aaf9-d109-c56d-176e4f3ff8f8,1,1,1,1,0,1
c3e56b95-fb0c-5e9a-7f28-c9b4befa8e87,1,1,1,1,0,1
780eda0d-dfbd-05c5-319e-8a532680259e,1,1,1,1,0,1
cf1bb2e0-9b69-34be-d368-8c03b350bffa,1,1,1,1,0,1
2d6bcc08-8136-9f89-9927-ebc3f1cf8ea9,1,1,1,1,1,1
765d1470-eae6-a6a7-a5c5-369da98187d5,1,1,1,1,2,1
ae60735d-3dc3-e917-45c2-a9639ffa5165,1,1,1,1,0,1
44e17d04-543e-41f6-93a5-a1fa3714908c,1,1,1,1,3,1
173c5411-77e8-1dbd-03f8-f0212b89797d,0,1,0,1,0,1
e928b9b4-eabd-29df-1182-1c5d86b45286,1,1,1,1,0,1
73c4abf9-98ff-c283-65ec-c77f75354f72,0,0,1,1,0,1
b64a71e7-bd08-83f0-c46d-7c45df4ff4f0,1,1,1,1,1,1
3b519864-f2d0-5871-4c76-27ee495cec33,1,1,1,1,1,1
852ea66e-8cd4-47bf-e1ad-93acba493dde,1,1,1,1,0,1
1e47079e-18ac-e9f4-15f2-7e8094e16635,1,1,1,1,0,1
5932cdf3-dc3d-ee9e-28b9-aed40baebca8,1,1,1,1,0,1
dcbd0aa4-7702-aa9b-3031-dd078b8028e9,1,1,1,1,0,1
3bd0eefa-8b02-cfa3-3108-957be3892c60,1,1,1,1,0,1
70ac8b6b-71b5-663f-f0d4-bb87e106d2e1,1,1,1,1,0,1
1d24394f-1590-ff24-7c8e-b36a34809d78,1,1,1,1,2,1
3b8bd6db-6c9b-2160-9502-36a128b28a4e,1,0,1,1,0,1
e2cfa2dd-8b81-1058-84bf-a4675cf31f0c,1,1,1,1,1,1
