Company name,Deal date,Investment amount,Incorporation date,Current stage,Exit date,Exit price
10 Digital Media,2015/11/16,3398454,,Dead,27/11/2018,0
1066 Airsoft,2016/5/31,23668,13/05/2014,Dead,27/02/2019,0
14M Genomics,2014/12/16,5000000,09/01/2014,Dead,21/03/2016,0
1855,2017/6/30,20000,27/02/2013,Dead,20/02/2020,0
1st Impression,2013/11/22,75005,26/08/2009,Dead,16/12/2019,0
201 Software,2017/3/15,29999,04/09/2015,Dead,23/07/2019,0
201 Software,2016/10/31,29999,04/09/2015,Dead,23/07/2019,0
2BE Technology,2016/2/19,20000,18/12/2013,Dead,01/10/2019,0
2BE Technology,2015/4/2,80000,18/12/2013,Dead,01/10/2019,0
2BE Technology,2014/2/14,10000,18/12/2013,Dead,01/10/2019,0
2PAx,2016/9/12,300038,17/03/2014,Dead,11/10/2019,0
3 Kinds of Ice,2014/12/11,147381,12/05/2014,Dead,31/03/2017,0
3-Cs,2010/10/15,212223,29/06/2000,Dead,18/10/2018,0
3-Cs,2012/7/31,112500,29/06/2000,Dead,18/10/2018,0
3-Cs,2014/4/29,117250,29/06/2000,Dead,18/10/2018,0
3-Cs,2014/12/10,196000,29/06/2000,Dead,18/10/2018,0
3-Cs,2009/7/1,516250,29/06/2000,Dead,18/10/2018,0
3-Cs,2013/5/1,333882,29/06/2000,Dead,18/10/2018,0
3Rings,2016/3/10,750000,10/01/2013,Dead,01/03/2019,0
3fifteen,2013/7/8,150000,20/10/2011,Dead,05/08/2016,0
3rd Forensic,2013/3/28,140007,27/04/2011,Dead,21/05/2019,0
3rd Forensic,2012/12/1,11000,27/04/2011,Dead,21/05/2019,0
3rd Forensic,2016/5/16,49973,27/04/2011,Dead,21/05/2019,0
3rd Forensic,2015/5/1,12220,27/04/2011,Dead,21/05/2019,0
3rd Forensic,2014/8/1,25041,27/04/2011,Dead,21/05/2019,0
3sun Group,2014/3/4,4419224,23/12/2008,Exited,29/10/2019,20000000
42 Juice,2015/7/27,69938,17/03/2014,Dead,11/06/2019,0
4energy,2015/12/31,3237022,29/07/2005,Dead,12/05/2017,0
4energy,2013/5/24,7105909,29/07/2005,Dead,12/05/2017,0
4energy,2016/10/21,1199618,29/07/2005,Dead,12/05/2017,0
4energy,2011/5/9,5064447,29/07/2005,Dead,12/05/2017,0
4th Aspect,2013/8/15,384000,16/03/2010,Dead,07/01/2016,0
4th Aspect,2012/3/30,189419,16/03/2010,Dead,07/01/2016,0
4x4 Aviation,2015/3/17,9996,20/11/2013,Dead,06/10/2016,0
659 Taxis of York,2010/1/2,48000,11/03/2005,Dead,03/04/2017,0
659 Taxis of York,2009/2/6,168000,11/03/2005,Dead,03/04/2017,0
8point3 LED,2014/4/5,300000,09/10/1992,Dead,21/08/2018,0
8point3 LED,2016/7/15,100000,09/10/1992,Dead,21/08/2018,0
90 Minutes,2015/3/27,40000,06/11/2012,Dead,08/02/2019,0
90 Minutes,2014/4/21,350000,06/11/2012,Dead,08/02/2019,0
99SQUARED,2014/7/22,85000,01/03/2011,Dead,24/08/2017,0
99p Shopper,2011/3/1,99999,28/10/2010,Dead,31/12/2015,0
99p Shopper,2012/3/23,25000,28/10/2010,Dead,31/12/2015,0
99p Shopper,2011/12/16,25000,28/10/2010,Dead,31/12/2015,0
A Suit That Fits,2015/9/24,881969,31/12/2006,Dead,04/04/2018,0
A Suit That Fits,2014/11/5,75000,31/12/2006,Dead,04/04/2018,0
ABeterno,2014/9/17,300000,,Dead,23/05/2018,0
ABeterno,2013/11/8,175000,,Dead,23/05/2018,0
AC Worldwide,2017/3/9,80021,01/08/2014,Dead,21/05/2019,0
AC Worldwide,2015/3/20,150000,01/08/2014,Dead,21/05/2019,0
ACAL Energy,2011/6/14,4167674,19/08/2004,Dead,18/07/2017,0
ACAL Energy,2010/5/19,1977276,19/08/2004,Dead,18/07/2017,0
ACAL Energy,2012/9/4,3238614,19/08/2004,Dead,18/07/2017,0
ADS Interactive,2016/5/27,70618,21/02/2003,Dead,04/01/2019,0
AIT,2012/11/2,66000,25/09/2012,Dead,08/08/2019,0
AJD Properties,2016/6/1,40000,23/05/2016,Dead,28/09/2017,0
AKA,2011/6/2,637503,31/12/1995,Exited,17/12/2015,17492000
ALLOW,2012/7/18,775011,17/01/2012,Dead,31/03/2013,0
AMIHO Technology,2015/2/11,600000,12/02/2013,Dead,24/07/2018,0
AMIHO Technology,2013/12/30,400000,12/02/2013,Dead,24/07/2018,0
AMP Clean Energy,2016/4/1,3257601,05/03/2010,Exited,30/11/2019,53695119
AMP Clean Energy,2017/10/31,5300010,05/03/2010,Exited,30/11/2019,53695119
AMP Clean Energy,2013/5/29,14693502,05/03/2010,Exited,30/11/2019,53695119
AMP Clean Energy,2018/11/2,17633275,05/03/2010,Exited,30/11/2019,53695119
AMR Textiles,2017/2/6,999999,15/01/2001,Dead,29/01/2019,0
ANNA,2019/10/28,1499460,27/04/2016,Exited,13/05/2020,17121124
ANNA,2019/2/5,8500575,27/04/2016,Exited,13/05/2020,17121124
APAM,2011/6/17,980100,15/06/2011,Exited,13/12/2018,18000000
ARKeX,2014/3/27,3267970,19/07/2001,Dead,27/11/2015,0
ARKeX,2013/6/27,9803920,19/07/2001,Dead,27/11/2015,0
ASK4,2012/8/28,234704,26/04/2000,Exited,27/05/2014,21500000
ATAK Promotions,2016/3/15,50000,11/09/2015,Dead,14/07/2017,0
ATEEDA,2014/5/31,749998,25/11/2005,Dead,16/05/2017,0
ATEEDA,2017/2/28,150000,25/11/2005,Dead,16/05/2017,0
ATEEDA,2016/10/3,629351,25/11/2005,Dead,16/05/2017,0
ATEEDA,2010/6/30,500004,25/11/2005,Dead,16/05/2017,0
ATEEDA,2012/5/24,1000001,25/11/2005,Dead,16/05/2017,0
ATEEDA,2015/11/19,599988,25/11/2005,Dead,16/05/2017,0
ATG Access,2013/2/20,1662648,31/12/1989,Exited,22/02/2019,22500000
ATL Protect,2015/12/11,750000,18/11/2015,Dead,19/02/2019,0
AVEQIA,2016/6/6,77000,03/12/2015,Dead,01/01/2018,0
Abgentis,2012/6/25,28000,28/02/2012,Dead,03/07/2019,0
Absynth Biologics,2013/7/18,570500,14/12/2006,Dead,25/04/2019,0
Absynth Biologics,2017/2/24,349995,14/12/2006,Dead,25/04/2019,0
Absynth Biologics,2014/6/27,2052260,14/12/2006,Dead,25/04/2019,0
Absynth Biologics,2015/11/30,203000,14/12/2006,Dead,25/04/2019,0
AccuNostics,2011/9/8,1249166,07/05/2008,Dead,06/05/2016,0
Acer Homes and Gardens,2017/8/1,100000,24/08/2012,Dead,12/08/2019,0
Acknowledge,2016/1/27,10750,14/01/2013,Dead,27/02/2019,0
Acre Events,2013/1/20,49680,27/07/2012,Dead,15/01/2019,0
ActivWireless,2013/4/14,75000,10/06/2010,Dead,02/10/2018,0
Activate Camps,2014/12/23,149993,24/02/2005,Dead,08/01/2018,0
Active,2016/6/1,1010800,03/10/2015,Dead,29/01/2019,0
Active,2017/10/2,140673,03/10/2015,Dead,29/01/2019,0
Acunu,2012/9/6,3581494,18/05/2009,Dead,05/11/2015,0
Acunu,2011/2/28,2259995,18/05/2009,Dead,05/11/2015,0
Ad Venture TV,2014/2/1,60000,20/12/2013,Dead,05/01/2017,0
Adaptive Array Systems,2013/6/28,195011,05/09/2011,Dead,20/08/2019,0
Adavow,2016/4/5,24520,02/02/2015,Dead,05/06/2018,0
Adavow,2016/1/14,53715,02/02/2015,Dead,05/06/2018,0
Adbrain,2017/4/13,12000,19/11/2012,Dead,25/10/2017,0
Adbrain,2013/7/17,1000044,19/11/2012,Dead,25/10/2017,0
Adbrain,2014/3/12,5587873,19/11/2012,Dead,25/10/2017,0
Adbrain,2016/2/17,10437038,19/11/2012,Dead,25/10/2017,0
Addictive Interactive,2011/7/29,350000,09/02/2004,Dead,25/06/2019,0
Addison Lee,2011/11/11,103000,01/04/1975,Exited,20/04/2013,300000000
Adestra,2015/2/3,21660,22/10/2004,Exited,15/12/2018,47819562.97
Adestra,2011/7/27,20970,22/10/2004,Exited,15/12/2018,47819562.97
Adestra,2017/3/31,476788,22/10/2004,Exited,15/12/2018,47819562.97
Adpoints,2011/9/15,182501,15/04/2010,Dead,01/11/2014,0
Adpoints,2014/2/24,611795,15/04/2010,Dead,01/11/2014,0
Adpoints,2014/7/30,285379,15/04/2010,Dead,01/11/2014,0
Adpoints,2013/7/1,976356,15/04/2010,Dead,01/11/2014,0
Adpoints,2012/4/1,1111302,15/04/2010,Dead,01/11/2014,0
Adrastea Cars,2013/11/15,271201,04/06/2013,Dead,24/10/2018,0
Adrastea Cars,2013/8/14,48057,04/06/2013,Dead,24/10/2018,0
Adrastea Cars,2014/8/10,82680,04/06/2013,Dead,24/10/2018,0
Adsally,2014/5/19,10001,21/10/2013,Dead,07/04/2016,0
Advanced LEDs,2012/9/26,475002,06/06/2001,Dead,17/02/2016,0
Advanced LEDs,2013/5/21,303173,06/06/2001,Dead,17/02/2016,0
Advanced LEDs,2015/3/8,533649,06/06/2001,Dead,17/02/2016,0
Advanced LEDs,2011/10/4,99995,06/06/2001,Dead,17/02/2016,0
Advanced Reheat,2017/3/30,150000,23/05/2016,Dead,27/06/2019,0
Adventures in Furniture,2011/2/28,9000,23/02/2000,Dead,08/08/2017,0
Adverdose,2015/6/18,10000,27/03/2014,Dead,08/03/2017,0
AdviFi,2016/1/6,55000,02/12/2015,Dead,02/07/2019,0
Advisor FM,2014/3/31,113832,09/11/2012,Dead,22/10/2019,0
Advisor FM,2015/7/2,158676,09/11/2012,Dead,22/10/2019,0
Advisor FM,2016/4/22,59395,09/11/2012,Dead,22/10/2019,0
Advisr,2016/10/14,849104,13/07/2016,Dead,01/07/2019,0
Aegate,2013/12/11,5397962,01/01/2003,Dead,21/08/2018,0
Aegate,2015/1/22,338413,01/01/2003,Dead,21/08/2018,0
Aegate,2015/7/16,15641976,01/01/2003,Dead,21/08/2018,0
Aegis Data,2017/6/27,1457613,10/03/2010,Dead,16/12/2019,0
Aegis Data,2016/9/2,1992000,10/03/2010,Dead,16/12/2019,0
Affio,2013/5/17,255005,02/04/2013,Dead,01/05/2018,0
Affio,2016/5/25,114250,02/04/2013,Dead,01/05/2018,0
Affio,2015/6/26,150751,02/04/2013,Dead,01/05/2018,0
Affresol,2012/4/6,317999,30/11/2007,Dead,18/03/2019,0
Affresol,2013/6/9,290513,30/11/2007,Dead,18/03/2019,0
Affresol,2010/1/17,415094,30/11/2007,Dead,18/03/2019,0
Affresol,2014/2/25,195990,30/11/2007,Dead,18/03/2019,0
Africa Power Storage,2017/10/28,892486,12/05/2017,Dead,10/02/2020,0
Agency Core,2016/9/29,104798,17/04/2014,Dead,08/05/2019,0
Agency Core,2017/10/17,29999,17/04/2014,Dead,08/05/2019,0
Agency Core,2015/2/27,40586,17/04/2014,Dead,08/05/2019,0
Agency Core,2016/1/28,152338,17/04/2014,Dead,08/05/2019,0
Agility Ventures,2019/1/27,125000,10/08/2018,Dead,17/12/2019,0
Agio,2015/9/1,150249,01/10/2014,Dead,15/09/2016,0
Ai-Applied,2013/11/27,150100,13/05/2011,Dead,02/04/2019,0
Ai-Applied,2014/7/21,45000,13/05/2011,Dead,02/04/2019,0
Ai2,2010/1/25,255992,13/04/2005,Dead,28/02/2019,0
Ai2,2012/1/5,1750790,13/04/2005,Dead,28/02/2019,0
Ai2,2015/1/15,200074,13/04/2005,Dead,28/02/2019,0
AinFin,2017/5/22,221210,17/06/2016,Dead,22/11/2018,0
AinFin,2016/10/31,198000,17/06/2016,Dead,22/11/2018,0
AirSense Wireless,2011/9/29,1615500,10/03/2010,Dead,01/11/2018,0
AirSense Wireless,2011/6/20,175000,10/03/2010,Dead,01/11/2018,0
AirSense Wireless,2016/7/22,1649902,10/03/2010,Dead,01/11/2018,0
Airbeem,2015/3/1,450133,13/04/2012,Dead,07/02/2020,0
Airbeem,2013/4/14,170000,13/04/2012,Dead,07/02/2020,0
Airbeem,2018/5/14,2902643,13/04/2012,Dead,07/02/2020,0
Airborne Energy,2015/6/29,491405,21/05/2010,Dead,08/03/2017,0
Airborne Energy,2013/9/25,180000,21/05/2010,Dead,08/03/2017,0
Airborne Energy,2014/8/8,440318,21/05/2010,Dead,08/03/2017,0
Airborne Energy,2011/7/15,300000,21/05/2010,Dead,08/03/2017,0
Airborne Energy,2010/9/15,100003,21/05/2010,Dead,08/03/2017,0
Airborne Energy,2012/11/27,280270,21/05/2010,Dead,08/03/2017,0
Aircoolbox,2016/3/31,735000,27/08/2010,Dead,06/11/2018,0
Aircoolbox,2015/9/29,64400,27/08/2010,Dead,06/11/2018,0
Aircoolbox,2014/12/1,175006,27/08/2010,Dead,06/11/2018,0
Aircraft Medical,2015/11/16,1553009,29/06/2001,Exited,18/11/2015,72219620.13
Aircraft Medical,2011/4/27,2123566,29/06/2001,Exited,18/11/2015,72219620.13
Airstoc,2015/7/23,430000,05/02/2014,Dead,22/08/2018,0
Akarna Therapeutics,2015/2/9,2400035,24/10/2014,Exited,20/09/2016,38501402.22
Akarna Therapeutics,2016/2/16,15000000,24/10/2014,Exited,20/09/2016,38501402.22
Akkroo,2016/9/26,544700,14/02/2013,Exited,04/04/2019,25804120.92
Akkroo,2013/6/11,169937,14/02/2013,Exited,04/04/2019,25804120.92
Akkroo,2018/5/22,1829884,14/02/2013,Exited,04/04/2019,25804120.92
Akquire,2017/3/31,27000,03/03/2016,Dead,09/07/2019,0
Albert Medical Devices,2012/4/19,299999,07/02/2011,Dead,19/10/2018,0
Albert Medical Devices,2014/4/8,914852,07/02/2011,Dead,19/10/2018,0
Albert Medical Devices,2012/6/15,291036,07/02/2011,Dead,19/10/2018,0
Albert Medical Devices,2014/12/19,1061340,07/02/2011,Dead,19/10/2018,0
Albert Medical Devices,2011/11/16,200000,07/02/2011,Dead,19/10/2018,0
Albert Medical Devices,2016/7/27,129006,07/02/2011,Dead,19/10/2018,0
Albion Tea,2015/5/7,75455,27/06/2014,Dead,08/01/2019,0
Albion Tea,2015/8/25,220210,27/06/2014,Dead,08/01/2019,0
Aldwyn & Sons,2019/5/8,25000,14/06/2017,Dead,20/05/2020,0
AlertFilm,2016/3/11,30001,31/12/2015,Dead,15/01/2019,0
AlertMe,2010/10/7,15000000,18/04/2006,Exited,13/02/2015,65000000
AlertMe,2013/8/28,3750000,18/04/2006,Exited,13/02/2015,65000000
Aletheia International,2012/9/4,750000,12/10/2011,Dead,05/11/2018,0
Aletheia International,2011/12/20,350000,12/10/2011,Dead,05/11/2018,0
Aletheia International,2013/10/24,185010,12/10/2011,Dead,05/11/2018,0
Aletheia International,2015/6/9,15000,12/10/2011,Dead,05/11/2018,0
Alkali Solutions,2014/10/15,100000,24/01/2014,Dead,01/07/2019,0
All Displays,2011/8/24,10000,03/11/2009,Dead,22/02/2019,0
All Displays,2012/6/14,20000,03/11/2009,Dead,22/02/2019,0
All Shades Covered,2017/6/2,338441,01/06/2015,Dead,17/02/2020,0
All Shades Covered,2016/7/27,99994,01/06/2015,Dead,17/02/2020,0
All Shades Covered,2017/4/21,49997,01/06/2015,Dead,17/02/2020,0
All Star Lanes,2010/6/22,544512,12/09/2006,Dead,25/09/2019,0
All Star Lanes,2011/4/15,1400000,12/09/2006,Dead,25/09/2019,0
Allerna Therapeutics,2012/4/25,48548,09/08/2006,Dead,15/08/2017,0
Allerna Therapeutics,2010/9/27,225004,09/08/2006,Dead,15/08/2017,0
Alma de Cuba,2014/10/29,49000,24/09/2012,Dead,25/10/2018,0
Alma de Cuba,2013/7/3,93725,24/09/2012,Dead,25/10/2018,0
Alma de Cuba,2014/1/20,492100,24/09/2012,Dead,25/10/2018,0
Alma de Cuba,2015/10/13,52170,24/09/2012,Dead,25/10/2018,0
Almax Analytics,2016/4/26,341351,22/12/2015,Dead,15/04/2019,0
Almax Analytics,2017/8/18,100043,22/12/2015,Dead,15/04/2019,0
Along Came Baby,2012/3/31,72000,13/03/2006,Dead,22/03/2016,0
Alpha Nano Solutions,2016/3/4,220000,07/02/2012,Dead,27/11/2017,0
Alpha Nano Solutions,2015/4/20,200000,07/02/2012,Dead,27/11/2017,0
Alpha Nano Solutions,2017/1/19,250000,07/02/2012,Dead,27/11/2017,0
Alpha-I,2016/6/15,20000,17/05/2016,Dead,02/07/2019,0
AlphaSphere,2012/6/13,10000,07/09/2010,Dead,12/11/2018,0
AlphaSphere,2015/4/10,108260,07/09/2010,Dead,12/11/2018,0
Alphabet Babies,2015/12/1,23987,18/08/2011,Dead,29/10/2018,0
Alphabet Babies,2015/5/26,103978,18/08/2011,Dead,29/10/2018,0
AlterScope,2012/12/10,30000,13/06/2012,Dead,13/10/2016,0
AlterScope,2013/12/11,67500,13/06/2012,Dead,13/10/2016,0
Altis,2016/8/25,82500,05/11/2015,Dead,27/02/2020,0
Altium i10,2016/4/28,270000,15/02/2008,Dead,05/11/2018,0
Altium i10,2014/7/16,250000,15/02/2008,Dead,05/11/2018,0
Alviol,2017/3/27,302000,22/10/2015,Dead,27/03/2018,0
Amantys,2012/11/22,5000000,07/05/2010,Dead,19/05/2015,0
Amantys,2011/7/22,3999997,07/05/2010,Dead,19/05/2015,0
Amantys,2013/10/2,3186804,07/05/2010,Dead,19/05/2015,0
Ambix,2015/2/25,53200,08/10/2012,Dead,25/09/2018,0
Amelia Powers,2015/12/4,170000,21/09/2017,Dead,05/11/2018,0
Amitex,2012/2/20,50000,26/02/2003,Dead,12/08/2019,0
Amix Designs,2015/12/9,6400,10/11/2015,Dead,13/10/2016,0
Amphio,2013/3/7,400000,26/11/2012,Dead,01/07/2018,0
Amphio,2016/10/6,81270,26/11/2012,Dead,01/07/2018,0
Amphio,2014/1/15,50000,26/11/2012,Dead,01/07/2018,0
Ancoa,2016/9/12,1837606,10/05/2010,Dead,10/05/2017,0
Ancoa,2012/8/16,140010,10/05/2010,Dead,10/05/2017,0
Ancoa,2013/10/18,220050,10/05/2010,Dead,10/05/2017,0
Andi's,2017/2/23,175000,13/02/2017,Dead,02/05/2019,0
Andrews Ritson,2011/9/30,12000,29/07/2009,Dead,31/05/2020,0
AngelBerry,2014/2/4,199156,11/10/2011,Dead,27/10/2017,0
Animus,2015/10/14,26600,13/04/2015,Dead,04/11/2016,0
Annecto UK,2014/10/30,310051,03/10/2012,Dead,07/08/2019,0
Annuity Trading Exchange,2016/7/2,149996,18/05/2015,Dead,27/06/2019,0
Antesy,2016/3/10,71250,09/06/2015,Dead,24/11/2016,0
Antidate,2016/8/30,15000,09/07/2012,Dead,21/06/2017,0
Antidate,2014/10/24,20000,09/07/2012,Dead,21/06/2017,0
Antidate,2015/11/16,20000,09/07/2012,Dead,21/06/2017,0
Antidate,2015/10/20,137500,09/07/2012,Dead,21/06/2017,0
Antivia,2014/3/5,274817,03/02/2010,Exited,04/10/2016,308124
Ap'et,2016/6/22,228485,13/01/2016,Dead,21/08/2018,0
Apical,2014/2/5,93500,26/01/1999,Exited,18/05/2016,240703749.5
Apical,2012/10/25,58650,26/01/1999,Exited,18/05/2016,240703749.5
Apogee Corporation,2013/3/11,5001143,31/12/1993,Exited,02/09/2016,2624000
Apogee Corporation,2015/8/18,21555590,31/12/1993,Exited,02/09/2016,2624000
App55,2013/3/26,319998,23/03/2010,Dead,06/01/2016,0
App55,2012/5/21,478751,23/03/2010,Dead,06/01/2016,0
AppShare,2011/12/22,518047,21/11/2007,Dead,29/06/2017,0
AppShare,2010/7/27,302172,21/11/2007,Dead,29/06/2017,0
Appaparel,2016/10/28,75000,13/06/2016,Dead,26/06/2019,0
Appetise,2017/3/7,742753,16/11/2007,Dead,06/11/2018,0
AppleGreen,2016/2/18,50000,21/09/2010,Dead,22/09/2018,0
AppleGreen,2014/9/1,25000,21/09/2010,Dead,22/09/2018,0
AppleGreen,2015/1/12,100000,21/09/2010,Dead,22/09/2018,0
AppleGreen,2013/3/27,100000,21/09/2010,Dead,22/09/2018,0
AppleGreen,2012/7/10,49500,21/09/2010,Dead,22/09/2018,0
AppleGreen,2011/11/5,49000,21/09/2010,Dead,22/09/2018,0
Applied Superconductor,2011/7/20,3649991,11/11/2004,Dead,10/12/2014,0
Applied Superconductor,2010/2/9,340288,11/11/2004,Dead,10/12/2014,0
Apprecie,2013/12/19,299988,03/02/2012,Dead,01/02/2017,0
Apprecie,2014/10/3,439982,03/02/2012,Dead,01/02/2017,0
Apprecie,2013/2/4,149997,03/02/2012,Dead,01/02/2017,0
Apps4Arts,2015/11/27,10000,18/05/2015,Dead,23/11/2017,0
Appy-Bunny,2014/10/4,100000,18/07/2013,Dead,25/09/2018,0
Appy-Bunny,2015/11/19,49995,18/07/2013,Dead,25/09/2018,0
Apsis Homes,2019/5/3,250000,11/11/2010,Dead,26/02/2020,0
Apsu Environmental,2011/12/1,237141,23/09/2010,Dead,05/12/2018,0
Apsu Environmental,2010/10/7,150000,23/09/2010,Dead,05/12/2018,0
Aquamarine Power,2009/12/15,4507699,31/12/2005,Dead,05/03/2019,0
Aquamarine Power,2014/5/13,3400001,31/12/2005,Dead,05/03/2019,0
Aquamarine Power,2011/9/27,7000001,31/12/2005,Dead,05/03/2019,0
Aquamarine Power,2010/11/24,11000000,31/12/2005,Dead,05/03/2019,0
Aquamarine Power,2011/1/26,17745613,31/12/2005,Dead,05/03/2019,0
Aquapharm Biodiscovery,2010/3/22,1996800,11/04/2000,Dead,03/02/2017,0
Aquapharm Biodiscovery,2011/2/15,2163200,11/04/2000,Dead,03/02/2017,0
Aquapharm Biodiscovery,2012/12/5,18750,11/04/2000,Dead,03/02/2017,0
Aragreen UK,2013/4/23,120046,12/02/2010,Dead,10/08/2017,0
Aragreen UK,2012/6/27,30000,12/02/2010,Dead,10/08/2017,0
Arboreal AgroInnovations,2016/3/30,301082,25/11/2014,Dead,25/10/2018,0
Arca PRM,2017/10/19,75498,11/09/2013,Dead,16/07/2020,0
Archer Adams,2013/3/20,100000,03/06/2008,Dead,03/05/2016,0
Arctic Farm,2012/8/15,45000,27/05/2008,Dead,20/11/2014,0
Arkstone Publishing,2011/9/7,100000,08/06/2010,Dead,13/08/2013,0
Arkstone Publishing,2011/1/7,78300,08/06/2010,Dead,13/08/2013,0
Armarge,2018/9/26,12499,28/10/2015,Dead,21/03/2019,0
Armarge,2016/8/3,52495,28/10/2015,Dead,21/03/2019,0
Art Retail Network,2016/7/29,100041,20/07/2010,Dead,19/11/2018,0
Art Retail Network,2014/8/12,400976,20/07/2010,Dead,19/11/2018,0
ArtAttack,2016/1/31,10999,29/07/2014,Dead,09/07/2019,0
Artegee,2015/1/23,31500,03/04/2013,Dead,25/10/2018,0
Artegee,2017/9/15,39000,03/04/2013,Dead,25/10/2018,0
Article Magazine,2014/2/5,37264,23/08/2012,Dead,21/01/2020,0
Article Magazine,2015/8/31,10000,23/08/2012,Dead,21/01/2020,0
Arwain Furniture Designs,2014/1/10,150000,11/07/2013,Dead,17/11/2016,0
Ascending Power,2012/3/16,25004,14/04/2011,Dead,28/03/2019,0
Ascension Holdings,2012/6/19,80000,21/04/2009,Dead,26/02/2019,0
Ask The Midwife,2016/1/16,50000,11/11/2015,Dead,07/02/2019,0
AskTina,2016/10/17,32023,22/08/2016,Dead,10/11/2017,0
Aspect Publishing,2018/9/28,100000,07/04/2016,Dead,16/07/2020,0
AssayMetrics,2010/6/1,395926,09/09/2004,Dead,15/08/2013,0
AssessUp,2014/5/14,46758,19/02/2014,Dead,03/07/2018,0
Asset Mapping,2014/11/5,69900,12/06/2012,Dead,10/05/2019,0
Asset Security & Protection,2011/7/4,5000,15/08/2005,Dead,15/08/2016,0
Assist,2015/12/9,20000,10/11/2015,Dead,13/06/2017,0
Astar Pets,2014/6/10,20000,24/05/2013,Dead,11/08/2016,0
Astar Pets,2014/10/16,350770,24/05/2013,Dead,11/08/2016,0
Aston Select,2015/2/27,40000,08/01/2014,Dead,21/01/2020,0
Astute Labs,2012/2/14,100464,03/11/2009,Dead,25/10/2018,0
Astwood Energy,2016/7/5,2299347,06/01/2015,Dead,21/05/2019,0
Astwood Energy,2015/12/18,56870,06/01/2015,Dead,21/05/2019,0
Atelier Mayer,2012/11/25,175000,13/05/2008,Dead,15/04/2016,0
Atelier Mayer,2011/2/13,279999,13/05/2008,Dead,15/04/2016,0
Ateria Health,2019/2/26,50009,28/11/2016,Dead,10/10/2019,0
Ateria Health,2017/4/5,47000,28/11/2016,Dead,10/10/2019,0
Ateria Health,2017/10/5,122403,28/11/2016,Dead,10/10/2019,0
Atlantic Water Company,2012/4/12,99925,01/07/2004,Dead,12/11/2019,0
Atlantic Water Company,2010/12/23,199854,01/07/2004,Dead,12/11/2019,0
Atopix,2014/10/7,2572929,10/10/2012,Exited,25/11/2016,63653453.62
Atopix,2015/5/29,2280863,10/10/2012,Exited,25/11/2016,63653453.62
Atopix,2013/5/29,3713692,10/10/2012,Exited,25/11/2016,63653453.62
Atraverda,2012/7/2,654891,10/10/1991,Dead,30/12/2012,0
Atterley,2014/2/4,2262751,,Dead,07/01/2016,0
Atterley,2015/2/4,2468753,,Dead,07/01/2016,0
Atterley,2013/3/28,1302139,,Dead,07/01/2016,0
Atterley,2012/3/29,1717365,,Dead,07/01/2016,0
Atticus Link,2017/5/3,20000,21/03/2017,Dead,03/07/2019,0
Audio Network,2018/4/18,151630,23/07/2001,Exited,11/04/2019,178000000
Audio Network,2013/4/8,227400,23/07/2001,Exited,11/04/2019,178000000
Audio Network,2015/6/3,321400,23/07/2001,Exited,11/04/2019,178000000
Audio Network,2017/10/23,270960,23/07/2001,Exited,11/04/2019,178000000
Audio Network,2017/1/9,116140,23/07/2001,Exited,11/04/2019,178000000
Audio Network,2010/5/10,206122,23/07/2001,Exited,11/04/2019,178000000
Audio Network,2011/7/14,130200,23/07/2001,Exited,11/04/2019,178000000
Audio Network,2012/10/9,1300000,23/07/2001,Exited,11/04/2019,178000000
AudioGo,2013/1/3,625034,10/06/2010,Dead,07/01/2016,0
AudioGo,2013/6/21,1950080,10/06/2010,Dead,07/01/2016,0
Aura Events,2011/4/6,17498,26/03/2003,Dead,28/03/2019,0
Auspherix,2015/6/3,6003768,,Dead,30/04/2019,0
Autharium,2013/10/30,629864,23/03/2012,Dead,16/10/2018,0
Autism Biotech,2014/12/22,199996,07/11/2012,Dead,20/02/2020,0
Auto22,2012/2/14,49999,19/03/2007,Dead,01/09/2017,0
AutoTrip,2018/3/13,2116298,24/09/2013,Dead,16/07/2020,0
AutoTrip,2017/3/31,158379,24/09/2013,Dead,16/07/2020,0
AutoTrip,2015/1/21,145982,24/09/2013,Dead,16/07/2020,0
AutoTrip,2016/3/14,518354,24/09/2013,Dead,16/07/2020,0
AutoTrip,2019/3/28,505914,24/09/2013,Dead,16/07/2020,0
Autology World,2011/6/20,1099906,27/01/2005,Dead,22/10/2018,0
Autology World,2013/1/30,180999,27/01/2005,Dead,22/10/2018,0
Autology World,2012/5/16,331027,27/01/2005,Dead,22/10/2018,0
Automated Trader,2012/12/18,250000,10/11/2008,Dead,26/06/2018,0
Auxilium Events,2015/2/5,20000,28/04/2014,Dead,06/01/2016,0
Avaris Law,2016/2/29,40500,12/02/2014,Dead,17/04/2018,0
Avascope Ventures,2013/11/9,107965,01/05/2013,Dead,12/11/2018,0
Avaunt,2014/5/10,55000,10/12/2013,Dead,30/10/2018,0
Aveillant,2016/2/1,2400016,24/05/2011,Exited,28/11/2017,1774000
Aveillant,2013/3/13,5249999,24/05/2011,Exited,28/11/2017,1774000
Aveillant,2014/4/9,6499999,24/05/2011,Exited,28/11/2017,1774000
Avison Aviation,2017/6/19,200000,10/04/2012,Dead,27/08/2019,0
Avvinity Therapeutics,2018/8/3,1400000,25/01/2016,Dead,27/06/2019,0
Avvinity Therapeutics,2016/3/2,2500000,25/01/2016,Dead,27/06/2019,0
