Company name,Deal date,Investment amount,Incorporation date,Current stage,Exit date,Exit price
Purssells London,2016/9/19,80000,26/04/2007,Dead,16/08/2018,0
QL London,2015/5/20,149910,23/04/2013,Dead,27/11/2018,0
QMA,2017/9/9,100010,06/01/2017,Dead,02/05/2019,0
QMA,2017/1/31,250000,06/01/2017,Dead,02/05/2019,0
Qtsy,2014/12/24,150000,17/10/2014,Dead,12/10/2016,0
Quality Practice,2013/8/19,169852,31/10/2011,Dead,29/01/2016,0
Quantave,2017/2/25,298235,19/11/2014,Dead,26/02/2020,0
Quantave,2016/3/8,250000,19/11/2014,Dead,26/02/2020,0
Quantilyte,2014/9/19,52000,16/10/2013,Dead,16/03/2017,0
Quantock Brewery,2014/8/1,31990,26/03/2009,Dead,08/02/2017,0
Quantock Brewery,2015/3/31,31990,26/03/2009,Dead,08/02/2017,0
Quantock Brewery,2013/6/21,119900,26/03/2009,Dead,08/02/2017,0
QuantumBlack,2014/4/1,750000,11/05/2011,Exited,16/12/2015,9919000
QuantumBlack,2013/3/19,500000,11/05/2011,Exited,16/12/2015,9919000
QuantumBlack,2015/5/26,400005,11/05/2011,Exited,16/12/2015,9919000
Quench Worldwide,2013/8/27,878150,13/08/2012,Dead,09/09/2016,0
Quench Worldwide,2014/12/12,327995,13/08/2012,Dead,09/09/2016,0
Quench Worldwide,2015/10/29,767417,13/08/2012,Dead,09/09/2016,0
Quench Worldwide,2014/9/25,103004,13/08/2012,Dead,09/09/2016,0
Quest International,2010/12/22,100000,18/02/1991,Dead,17/04/2020,0
Quest International,2012/12/17,967704,18/02/1991,Dead,17/04/2020,0
QuidCycle,2014/7/29,330739,08/10/2010,Dead,10/10/2019,0
QuidCycle,2017/1/16,462083,08/10/2010,Dead,10/10/2019,0
QuidCycle,2018/1/25,1689000,08/10/2010,Dead,10/10/2019,0
QuidCycle,2014/1/27,344290,08/10/2010,Dead,10/10/2019,0
Quiet Revolution,2010/6/7,2999999,29/03/2005,Dead,01/12/2016,0
Quiet Revolution,2011/4/15,2274897,29/03/2005,Dead,01/12/2016,0
Quinn,2015/8/17,64520,11/11/2013,Dead,08/09/2017,0
Quinn,2016/1/1,85838,11/11/2013,Dead,08/09/2017,0
Quinn,2014/12/21,145550,11/11/2013,Dead,08/09/2017,0
Quintessence Systems,2010/9/1,19998,16/06/1998,Dead,08/05/2018,0
Quintessence Systems,2012/8/9,8976,16/06/1998,Dead,08/05/2018,0
Quipper,2014/3/7,3394999,17/12/2010,Exited,01/04/2015,26861200.56
Quipper,2012/5/18,2800869,17/12/2010,Exited,01/04/2015,26861200.56
QuizFortune,2014/9/30,560250,27/05/2008,Dead,26/02/2020,0
QuizFortune,2012/12/20,800000,27/05/2008,Dead,26/02/2020,0
QuizTix,2013/11/28,150000,18/07/2013,Dead,31/10/2018,0
Quotable,2016/6/15,20000,,Dead,29/05/2018,0
Quovai,2013/7/5,15000,07/08/2012,Dead,10/04/2018,0
Quovai,2015/2/2,15050,07/08/2012,Dead,10/04/2018,0
Qwiddle,2014/8/11,75020,01/06/2010,Dead,09/11/2018,0
R S Flavourings,2015/10/23,89981,20/01/2011,Dead,01/11/2018,0
R&D Construction,2012/1/16,42996,10/02/1995,Dead,18/03/2019,0
R3 Products,2012/9/25,290016,16/07/2010,Dead,07/01/2016,0
R3 Products,2013/8/30,1899227,16/07/2010,Dead,07/01/2016,0
RDS Property Services,2017/2/8,10000,08/02/2011,Dead,05/11/2018,0
RE Hydrogen,2013/3/13,215933,21/05/2009,Dead,24/10/2017,0
REG,2013/11/18,973135,05/11/2012,Exited,27/04/2017,8000000
REG,2014/5/9,11472,05/11/2012,Exited,27/04/2017,8000000
REG,2015/3/3,11472,05/11/2012,Exited,27/04/2017,8000000
REG,2016/9/30,180000,05/11/2012,Exited,27/04/2017,8000000
REG,2017/4/26,4639995,05/11/2012,Exited,27/04/2017,8000000
REVL,2017/1/11,2278330,19/01/2015,Dead,15/06/2018,0
REVL,2015/9/3,897750,19/01/2015,Dead,15/06/2018,0
RICAtek,2010/9/21,109984,29/07/2009,Dead,09/08/2013,0
RMCAS,2012/6/1,45000,13/03/2003,Dead,10/02/2020,0
RUFFLR,2014/5/15,39966,07/06/2011,Dead,09/11/2017,0
RUFFLR,2013/4/4,1340000,07/06/2011,Dead,09/11/2017,0
