Beauhurst company URL,Beauhurst deal URL,Company name,Deal date,Verified investment amount (converted to GBP),Amount raised (converted to GBP)
https://platform.beauhurst.com/company/rsviqr/,https://platform.beauhurst.com/transaction/fundraising/8sc9/,Fits.me,2010/9/22,,1112327.503
https://platform.beauhurst.com/company/rsviqr/,https://platform.beauhurst.com/transaction/fundraising/8yxa/,Fits.me,2012/9/21,399566,399566.1588
https://platform.beauhurst.com/company/673wsg/,https://platform.beauhurst.com/transaction/fundraising/w3pt/,eggplant,2013/3/20,1237273,1237272.803
https://platform.beauhurst.com/company/rpibje/,https://platform.beauhurst.com/transaction/fundraising/2wdg/,Moni,2013/9/27,503455,503454.89
https://platform.beauhurst.com/company/ez3gq4/,https://platform.beauhurst.com/transaction/fundraising/xgqt/,Simpletax,2014/10/21,41006,41005.58518
https://platform.beauhurst.com/company/ez3gq4/,https://platform.beauhurst.com/transaction/fundraising/8mqb/,Simpletax,2012/11/1,,
https://platform.beauhurst.com/company/wicq76/,https://platform.beauhurst.com/transaction/fundraising/zhvn/,Betify,2015/1/26,10000,9999.807
https://platform.beauhurst.com/company/88uzdc/,https://platform.beauhurst.com/transaction/fundraising/ur6s/,Sketch,2014/6/25,150000,150000
https://platform.beauhurst.com/company/jcm9dv/,https://platform.beauhurst.com/transaction/fundraising/uzir/,TreePress,2015/3/20,96000,96000
https://platform.beauhurst.com/company/4mxttu/,https://platform.beauhurst.com/transaction/fundraising/h6fy/,FlexEnable,2002/11/25,,8750000
https://platform.beauhurst.com/company/4mxttu/,https://platform.beauhurst.com/transaction/fundraising/sd74/,FlexEnable,2005/11/30,,13886759.99
https://platform.beauhurst.com/company/4mxttu/,https://platform.beauhurst.com/transaction/fundraising/psyr/,FlexEnable,2007/1/6,,51688400.04
https://platform.beauhurst.com/company/4mxttu/,https://platform.beauhurst.com/transaction/fundraising/gjzh/,FlexEnable,2008/8/4,,25461049.97
https://platform.beauhurst.com/company/4mxttu/,https://platform.beauhurst.com/transaction/fundraising/hj7c/,FlexEnable,2011/1/18,,187682099.7
https://platform.beauhurst.com/company/pb86ax/,https://platform.beauhurst.com/transaction/fundraising/xrtn/,KalliKids,2015/3/15,395943,175000
https://platform.beauhurst.com/company/pb86ax/,https://platform.beauhurst.com/transaction/fundraising/78ph/,KalliKids,2014/12/15,93491,93490.65
https://platform.beauhurst.com/company/sg5k6j/,https://platform.beauhurst.com/transaction/fundraising/ekb6/,POD Point,2015/3/13,1453060,1453077
https://platform.beauhurst.com/company/sg5k6j/,https://platform.beauhurst.com/transaction/fundraising/7srp/,POD Point,2013/6/18,400050,400050
https://platform.beauhurst.com/company/kyxuis/,https://platform.beauhurst.com/transaction/fundraising/rbhu/,Attenda,2002/8/1,,9000000
https://platform.beauhurst.com/company/vaei4g/,https://platform.beauhurst.com/transaction/fundraising/wys8/,LumeJet,2010/4/30,750250,500000
https://platform.beauhurst.com/company/zrjwk2/,https://platform.beauhurst.com/transaction/fundraising/9623/,QL London,2015/5/20,149910,150000
https://platform.beauhurst.com/company/mtdpni/,https://platform.beauhurst.com/transaction/fundraising/ghb9/,RefurbThat,2015/5/20,,550000
https://platform.beauhurst.com/company/x4fjuf/,https://platform.beauhurst.com/transaction/fundraising/sn5e/,Moonpeel,2015/4/10,42440,42440.224
https://platform.beauhurst.com/company/vaei4g/,https://platform.beauhurst.com/transaction/fundraising/8gk3/,LumeJet,2010/11/6,750000,750000
https://platform.beauhurst.com/company/cse7pn/,https://platform.beauhurst.com/transaction/fundraising/egh9/,Binx Health,2012/10/23,250000,250000
https://platform.beauhurst.com/company/cse7pn/,https://platform.beauhurst.com/transaction/fundraising/9zf9/,Binx Health,2013/5/20,6700000,6700000
https://platform.beauhurst.com/company/vaei4g/,https://platform.beauhurst.com/transaction/fundraising/zqh7/,LumeJet,2011/6/22,1106821,1106821
https://platform.beauhurst.com/company/cse7pn/,https://platform.beauhurst.com/transaction/fundraising/xhf7/,Binx Health,2014/4/25,2947300,2947300
https://platform.beauhurst.com/company/vaei4g/,https://platform.beauhurst.com/transaction/fundraising/whji/,LumeJet,2013/7/19,1587133,1587132.6
https://platform.beauhurst.com/company/cse7pn/,https://platform.beauhurst.com/transaction/fundraising/qqki/,Binx Health,2009/11/30,53001,535000
https://platform.beauhurst.com/company/vaei4g/,https://platform.beauhurst.com/transaction/fundraising/8cfw/,LumeJet,2014/4/25,1530310,1530309.6
https://platform.beauhurst.com/company/dyphss/,https://platform.beauhurst.com/transaction/fundraising/qtfx/,Visixtwo,2015/2/14,57350,60640
https://platform.beauhurst.com/company/x4fjuf/,https://platform.beauhurst.com/transaction/fundraising/8f7q/,Moonpeel,2013/6/4,5702,5701.668
https://platform.beauhurst.com/company/x4fjuf/,https://platform.beauhurst.com/transaction/fundraising/efzv/,Moonpeel,2013/11/29,71905,71904.82
